"Month","Unemployed"
"1948-01",2034
"1948-02",2328
"1948-03",2399
"1948-04",2386
"1948-05",2118
"1948-06",2214
"1948-07",2213
"1948-08",2350
"1948-09",2302
"1948-10",2259
"1948-11",2285
"1948-12",2429
"1949-01",2596
"1949-02",2849
"1949-03",3030
"1949-04",3260
"1949-05",3707
"1949-06",3776
"1949-07",4111
"1949-08",4193
"1949-09",4049
"1949-10",4916
"1949-11",3996
"1949-12",4063
"1950-01",4026
"1950-02",3936
"1950-03",3876
"1950-04",3575
"1950-05",3434
"1950-06",3367
"1950-07",3120
"1950-08",2799
"1950-09",2774
"1950-10",2625
"1950-11",2589
"1950-12",2639
"1951-01",2305
"1951-02",2117
"1951-03",2125
"1951-04",1919
"1951-05",1856
"1951-06",1995
"1951-07",1950
"1951-08",1933
"1951-09",2067
"1951-10",2194
"1951-11",2178
"1951-12",1960
"1952-01",1972
"1952-02",1957
"1952-03",1813
"1952-04",1811
"1952-05",1863
"1952-06",1884
"1952-07",1991
"1952-08",2087
"1952-09",1936
"1952-10",1839
"1952-11",1743
"1952-12",1667
"1953-01",1839
"1953-02",1636
"1953-03",1647
"1953-04",1723
"1953-05",1596
"1953-06",1607
"1953-07",1660
"1953-08",1665
"1953-09",1821
"1953-10",1974
"1953-11",2211
"1953-12",2818
"1954-01",3077
"1954-02",3331
"1954-03",3607
"1954-04",3749
"1954-05",3767
"1954-06",3551
"1954-07",3659
"1954-08",3854
"1954-09",3927
"1954-10",3666
"1954-11",3402
"1954-12",3196
"1955-01",3157
"1955-02",2969
"1955-03",2918
"1955-04",3049
"1955-05",2747
"1955-06",2701
"1955-07",2632
"1955-08",2784
"1955-09",2678
"1955-10",2830
"1955-11",2780
"1955-12",2761
"1956-01",2666
"1956-02",2606
"1956-03",2764
"1956-04",2650
"1956-05",2861
"1956-06",2882
"1956-07",2952
"1956-08",2701
"1956-09",2635
"1956-10",2571
"1956-11",2861
"1956-12",2790
"1957-01",2796
"1957-02",2622
"1957-03",2509
"1957-04",2600
"1957-05",2710
"1957-06",2856
"1957-07",2796
"1957-08",2747
"1957-09",2943
"1957-10",3020
"1957-11",3454
"1957-12",3476
"1958-01",3875
"1958-02",4303
"1958-03",4492
"1958-04",5016
"1958-05",5021
"1958-06",4944
"1958-07",5079
"1958-08",5025
"1958-09",4821
"1958-10",4570
"1958-11",4188
"1958-12",4191
"1959-01",4068
"1959-02",3965
"1959-03",3801
"1959-04",3571
"1959-05",3479
"1959-06",3429
"1959-07",3528
"1959-08",3588
"1959-09",3775
"1959-10",3910
"1959-11",4003
"1959-12",3653
"1960-01",3615
"1960-02",3329
"1960-03",3726
"1960-04",3620
"1960-05",3569
"1960-06",3766
"1960-07",3836
"1960-08",3946
"1960-09",3884
"1960-10",4252
"1960-11",4330
"1960-12",4617
"1961-01",4671
"1961-02",4832
"1961-03",4853
"1961-04",4893
"1961-05",5003
"1961-06",4885
"1961-07",4928
"1961-08",4682
"1961-09",4676
"1961-10",4573
"1961-11",4295
"1961-12",4177
"1962-01",4081
"1962-02",3871
"1962-03",3921
"1962-04",3906
"1962-05",3863
"1962-06",3844
"1962-07",3819
"1962-08",4013
"1962-09",3961
"1962-10",3803
"1962-11",4024
"1962-12",3907
"1963-01",4074
"1963-02",4238
"1963-03",4072
"1963-04",4055
"1963-05",4217
"1963-06",3977
"1963-07",4051
"1963-08",3878
"1963-09",3957
"1963-10",3987
"1963-11",4151
"1963-12",3975
"1964-01",4029
"1964-02",3932
"1964-03",3950
"1964-04",3918
"1964-05",3764
"1964-06",3814
"1964-07",3608
"1964-08",3655
"1964-09",3712
"1964-10",3726
"1964-11",3551
"1964-12",3651
"1965-01",3572
"1965-02",3730
"1965-03",3510
"1965-04",3595
"1965-05",3432
"1965-06",3387
"1965-07",3301
"1965-08",3254
"1965-09",3216
"1965-10",3143
"1965-11",3073
"1965-12",3031
"1966-01",2988
"1966-02",2820
"1966-03",2887
"1966-04",2828
"1966-05",2950
"1966-06",2872
"1966-07",2876
"1966-08",2900
"1966-09",2798
"1966-10",2798
"1966-11",2770
"1966-12",2912
"1967-01",2968
"1967-02",2915
"1967-03",2889
"1967-04",2895
"1967-05",2929
"1967-06",2992
"1967-07",2944
"1967-08",2945
"1967-09",2958
"1967-10",3143
"1967-11",3066
"1967-12",3018
"1968-01",2878
"1968-02",3001
"1968-03",2877
"1968-04",2709
"1968-05",2740
"1968-06",2938
"1968-07",2883
"1968-08",2768
"1968-09",2686
"1968-10",2689
"1968-11",2715
"1968-12",2685
"1969-01",2718
"1969-02",2692
"1969-03",2712
"1969-04",2758
"1969-05",2713
"1969-06",2816
"1969-07",2868
"1969-08",2856
"1969-09",3040
"1969-10",3049
"1969-11",2856
"1969-12",2884
"1970-01",3201
"1970-02",3453
